Citycode,Provincecode,Province,City,LUL
110000,110000,北京市,北京市,267.5599622
120000,120000,天津市,天津市,306.4304506
130100,130000,河北省,石家庄市,288.0528156
130200,130000,河北省,唐山市,298.5546563
130300,130000,河北省,秦皇岛市,265.7733503
130400,130000,河北省,邯郸市,301.6221559
130500,130000,河北省,邢台市,303.9620978
130600,130000,河北省,保定市,271.6933496
130700,130000,河北省,张家口市,237.048915
130800,130000,河北省,承德市,216.9822682
130900,130000,河北省,沧州市,312.3927294
131000,130000,河北省,廊坊市,324.3076256
131100,130000,河北省,衡水市,320.0276077
140100,140000,山西省,太原市,236.6765261
140200,140000,山西省,大同市,248.1258253
140300,140000,山西省,阳泉市,224.1575329
140400,140000,山西省,长治市,244.574969
140500,140000,山西省,晋城市,239.9855777
140600,140000,山西省,朔州市,255.0118278
140700,140000,山西省,晋中市,237.4144684
140800,140000,山西省,运城市,283.1732994
140900,140000,山西省,忻州市,229.34177
141000,140000,山西省,临汾市,245.7382168
141100,140000,山西省,吕梁市,232.037617
150100,150000,内蒙古自治区,呼和浩特市,244.7501046
150200,150000,内蒙古自治区,包头市,218.7659419
150300,150000,内蒙古自治区,乌海市,153.8750154
150400,150000,内蒙古自治区,赤峰市,223.5730416
150500,150000,内蒙古自治区,通辽市,246.677514
150600,150000,内蒙古自治区,鄂尔多斯市,179.6408877
150700,150000,内蒙古自治区,呼伦贝尔市,209.5764263
150800,150000,内蒙古自治区,巴彦淖尔市,152.0918721
150900,150000,内蒙古自治区,乌兰察布市,220.3221859
152200,150000,内蒙古自治区,兴安盟,233.8143514
152500,150000,内蒙古自治区,锡林郭勒盟,200.7939445
152900,150000,内蒙古自治区,阿拉善盟,13.62453615
156400,150000,中朝共有,中朝共有,85.5017579
210100,210000,辽宁省,沈阳市,311.3447093
210200,210000,辽宁省,大连市,276.1467128
210300,210000,辽宁省,鞍山市,265.4252382
210400,210000,辽宁省,抚顺市,227.838216
210500,210000,辽宁省,本溪市,220.5362668
210600,210000,辽宁省,丹东市,233.5179726
210700,210000,辽宁省,锦州市,295.7912293
210800,210000,辽宁省,营口市,268.7965473
210900,210000,辽宁省,阜新市,293.7116571
211000,210000,辽宁省,辽阳市,275.0925189
