Citycode,Provincecode,Province,City,LUL
110000,110000,北京市,北京市,267.9815779
120000,120000,天津市,天津市,308.834991
130100,130000,河北省,石家庄市,289.6586634
130200,130000,河北省,唐山市,300.8468359
130300,130000,河北省,秦皇岛市,266.745952
130400,130000,河北省,邯郸市,303.0140356
130500,130000,河北省,邢台市,305.2432607
130600,130000,河北省,保定市,273.3032028
130700,130000,河北省,张家口市,239.5418505
130800,130000,河北省,承德市,218.2771511
130900,130000,河北省,沧州市,313.9382475
131000,130000,河北省,廊坊市,326.7607537
131100,130000,河北省,衡水市,321.2069231
140100,140000,山西省,太原市,238.229509
140200,140000,山西省,大同市,250.482343
140300,140000,山西省,阳泉市,224.9144023
140400,140000,山西省,长治市,245.4143469
140500,140000,山西省,晋城市,239.3776575
140600,140000,山西省,朔州市,256.8948008
140700,140000,山西省,晋中市,239.6197937
140800,140000,山西省,运城市,284.8784244
140900,140000,山西省,忻州市,228.5930454
141000,140000,山西省,临汾市,246.5274492
141100,140000,山西省,吕梁市,229.4767776
150100,150000,内蒙古自治区,呼和浩特市,243.3963619
150200,150000,内蒙古自治区,包头市,217.1602902
150300,150000,内蒙古自治区,乌海市,160.7986856
150400,150000,内蒙古自治区,赤峰市,225.459856
150500,150000,内蒙古自治区,通辽市,247.2272062
150600,150000,内蒙古自治区,鄂尔多斯市,181.3169042
150700,150000,内蒙古自治区,呼伦贝尔市,209.6524978
150800,150000,内蒙古自治区,巴彦淖尔市,147.6067795
150900,150000,内蒙古自治区,乌兰察布市,219.4817848
152200,150000,内蒙古自治区,兴安盟,236.3831597
152500,150000,内蒙古自治区,锡林郭勒盟,200.3836217
152900,150000,内蒙古自治区,阿拉善盟,14.03270222
156400,150000,中朝共有,中朝共有,86.80105328
210100,210000,辽宁省,沈阳市,312.1488262
210200,210000,辽宁省,大连市,277.3620395
210300,210000,辽宁省,鞍山市,266.3105871
210400,210000,辽宁省,抚顺市,227.3194313
210500,210000,辽宁省,本溪市,220.3352807
210600,210000,辽宁省,丹东市,232.7752629
210700,210000,辽宁省,锦州市,295.8776573
210800,210000,辽宁省,营口市,270.36279
210900,210000,辽宁省,阜新市,292.9136696
211000,210000,辽宁省,辽阳市,276.128919
