Citycode,Provincecode,Province,City,LUL
110000,110000,北京市,北京市,265.9650181
120000,120000,天津市,天津市,302.5375335
130100,130000,河北省,石家庄市,285.6520429
130200,130000,河北省,唐山市,296.2186373
130300,130000,河北省,秦皇岛市,264.1302236
130400,130000,河北省,邯郸市,299.8232756
130500,130000,河北省,邢台市,301.821804
130600,130000,河北省,保定市,271.1469517
130700,130000,河北省,张家口市,237.7412814
130800,130000,河北省,承德市,217.0125079
130900,130000,河北省,沧州市,311.1753994
131000,130000,河北省,廊坊市,321.3530025
131100,130000,河北省,衡水市,318.9411742
140100,140000,山西省,太原市,234.7839205
140200,140000,山西省,大同市,245.9772359
140300,140000,山西省,阳泉市,224.7899782
140400,140000,山西省,长治市,243.6395736
140500,140000,山西省,晋城市,239.858673
140600,140000,山西省,朔州市,254.4643691
140700,140000,山西省,晋中市,235.469244
140800,140000,山西省,运城市,282.1714502
140900,140000,山西省,忻州市,230.2142359
141000,140000,山西省,临汾市,241.8143871
141100,140000,山西省,吕梁市,232.1068172
150100,150000,内蒙古自治区,呼和浩特市,242.0730856
150200,150000,内蒙古自治区,包头市,218.3884078
150300,150000,内蒙古自治区,乌海市,156.1440686
150400,150000,内蒙古自治区,赤峰市,223.2322609
150500,150000,内蒙古自治区,通辽市,241.762847
150600,150000,内蒙古自治区,鄂尔多斯市,175.1988514
150700,150000,内蒙古自治区,呼伦贝尔市,209.2475435
150800,150000,内蒙古自治区,巴彦淖尔市,153.1580458
150900,150000,内蒙古自治区,乌兰察布市,220.0165671
152200,150000,内蒙古自治区,兴安盟,230.3818433
152500,150000,内蒙古自治区,锡林郭勒盟,200.3203494
152900,150000,内蒙古自治区,阿拉善盟,13.45019704
156400,150000,中朝共有,中朝共有,81.89548751
210100,210000,辽宁省,沈阳市,310.0386266
210200,210000,辽宁省,大连市,275.0147584
210300,210000,辽宁省,鞍山市,265.1432558
210400,210000,辽宁省,抚顺市,226.5023401
210500,210000,辽宁省,本溪市,219.8277278
210600,210000,辽宁省,丹东市,233.2377643
210700,210000,辽宁省,锦州市,295.3947901
210800,210000,辽宁省,营口市,266.91194
210900,210000,辽宁省,阜新市,293.4502263
211000,210000,辽宁省,辽阳市,273.1341779
211100,210000,辽宁省,盘锦市,308.4131095
211200,210000,辽宁省,铁岭市,272.570708
211300,210000,辽宁省,朝阳市,257.3287995
211400,210000,辽宁省,葫芦岛市,263.5040221
220100,220000,吉林省,长春市,300.5808661
220200,220000,吉林省,吉林市,242.8192842
220300,220000,吉林省,四平市,295.1636508
220400,220000,吉林省,辽源市,274.5813232
220500,220000,吉林省,通化市,235.7271965
220600,220000,吉林省,白山市,207.3423857
220700,220000,吉林省,松原市,284.0960866
220800,220000,吉林省,白城市,265.4133206
222400,220000,吉林省,延边朝鲜族自治州,214.5415199
230100,230000,黑龙江省,哈尔滨市,257.5877121
230200,230000,黑龙江省,齐齐哈尔市,291.9167368
230300,230000,黑龙江省,鸡西市,262.4094783
230400,230000,黑龙江省,鹤岗市,252.1588204
230500,230000,黑龙江省,双鸭山市,260.4043992
230600,230000,黑龙江省,大庆市,283.4241682
230700,230000,黑龙江省,伊春市,209.991581
230800,230000,黑龙江省,佳木斯市,280.0563842
230900,230000,黑龙江省,七台河市,256.2540556
231000,230000,黑龙江省,牡丹江市,224.801073
231100,230000,黑龙江省,黑河市,234.8964999
231200,230000,黑龙江省,绥化市,282.0041681
232700,230000,黑龙江省,大兴安岭地区,201.7104544
310000,310000,上海市,上海市,301.3972037
320100,320000,江苏省,南京市,296.6708075
320200,320000,江苏省,无锡市,292.1923056
320300,320000,江苏省,徐州市,317.8446067
320400,320000,江苏省,常州市,296.2069765
320500,320000,江苏省,苏州市,280.7085372
320600,320000,江苏省,南通市,299.6700491
320700,320000,江苏省,连云港市,305.1284941
320800,320000,江苏省,淮安市,293.7231668
320900,320000,江苏省,盐城市,300.9391323
321000,320000,江苏省,扬州市,296.2302928
321100,320000,江苏省,镇江市,298.6876717
321200,320000,江苏省,泰州市,301.7693847
321300,320000,江苏省,宿迁市,299.2797681
330100,330000,浙江省,杭州市,228.5141007
330200,330000,浙江省,宁波市,240.0182604
330300,330000,浙江省,温州市,223.8319294
330400,330000,浙江省,嘉兴市,252.9838978
330500,330000,浙江省,湖州市,259.4364698
330600,330000,浙江省,绍兴市,241.7499098
330700,330000,浙江省,金华市,237.9882589
330800,330000,浙江省,衢州市,228.8023254
330900,330000,浙江省,舟山市,209.8671214
331000,330000,浙江省,台州市,232.2817394
331100,330000,浙江省,丽水市,206.2343814
340100,340000,安徽省,合肥市,294.0687107
340200,340000,安徽省,芜湖市,283.4543434
340300,340000,安徽省,蚌埠市,306.7907445
340400,340000,安徽省,淮南市,303.4841549
340500,340000,安徽省,马鞍山市,285.1152958
340600,340000,安徽省,淮北市,314.7186832
340700,340000,安徽省,铜陵市,272.4857131
340800,340000,安徽省,安庆市,253.0759845
341000,340000,安徽省,黄山市,210.6283446
341100,340000,安徽省,滁州市,295.9086254
341200,340000,安徽省,阜阳市,310.9498332
341300,340000,安徽省,宿州市,312.4238357
341500,340000,安徽省,六安市,257.0536102
341600,340000,安徽省,亳州市,312.5696301
341700,340000,安徽省,池州市,229.4028055
341800,340000,安徽省,宣城市,236.5071416
350100,350000,福建省,福州市,225.1649346
350200,350000,福建省,厦门市,265.8058823
350300,350000,福建省,莆田市,237.5729012
350400,350000,福建省,三明市,207.6313418
350500,350000,福建省,泉州市,234.5326249
350600,350000,福建省,漳州市,226.5715979
350700,350000,福建省,南平市,208.3432282
350800,350000,福建省,龙岩市,208.6529526
350900,350000,福建省,宁德市,207.1097533
360100,360000,江西省,南昌市,282.5735884
360200,360000,江西省,景德镇市,228.31038
360300,360000,江西省,萍乡市,230.9319865
360400,360000,江西省,九江市,233.5885731
360500,360000,江西省,新余市,251.9444481
360600,360000,江西省,鹰潭市,253.5363385
360700,360000,江西省,赣州市,218.9237888
360800,360000,江西省,吉安市,229.153995
360900,360000,江西省,宜春市,243.7433705
361000,360000,江西省,抚州市,229.9553129
361100,360000,江西省,上饶市,236.7420108
370100,370000,山东省,济南市,301.7413061
370200,370000,山东省,青岛市,314.2087449
370300,370000,山东省,淄博市,297.6460984
370400,370000,山东省,枣庄市,313.2732451
370500,370000,山东省,东营市,284.6467192
370600,370000,山东省,烟台市,298.7314986
370700,370000,山东省,潍坊市,302.6057395
370800,370000,山东省,济宁市,305.218211
370900,370000,山东省,泰安市,304.6540602
371000,370000,山东省,威海市,299.4052135
371100,370000,山东省,日照市,304.906225
371300,370000,山东省,临沂市,306.9969158
371400,370000,山东省,德州市,320.0307839
371500,370000,山东省,聊城市,319.8145581
371600,370000,山东省,滨州市,297.7143223
371700,370000,山东省,菏泽市,317.0552746
410100,410000,河南省,郑州市,310.5076585
410200,410000,河南省,开封市,315.3616969
410300,410000,河南省,洛阳市,260.0897385
410400,410000,河南省,平顶山市,292.6755737
410500,410000,河南省,安阳市,299.2562429
410600,410000,河南省,鹤壁市,303.3899999
410700,410000,河南省,新乡市,305.8222704
410800,410000,河南省,焦作市,305.4288537
410900,410000,河南省,濮阳市,319.5087803
411000,410000,河南省,许昌市,312.5406037
411100,410000,河南省,漯河市,315.4804305
411200,410000,河南省,三门峡市,242.3982229
411300,410000,河南省,南阳市,275.7464419
411400,410000,河南省,商丘市,316.3332903
411500,410000,河南省,信阳市,283.7389521
411600,410000,河南省,周口市,314.3403002
411700,410000,河南省,驻马店市,303.6042699
419001,410000,河南省,济源市,267.005971
420100,420000,湖北省,武汉市,289.1099899
420200,420000,湖北省,黄石市,257.1557148
420300,420000,湖北省,十堰市,219.0525401
420500,420000,湖北省,宜昌市,227.067431
420600,420000,湖北省,襄阳市,258.8545623
420700,420000,湖北省,鄂州市,281.2336323
420800,420000,湖北省,荆门市,272.0411301
420900,420000,湖北省,孝感市,286.2324284
421000,420000,湖北省,荆州市,286.0971356
421100,420000,湖北省,黄冈市,257.4342326
421200,420000,湖北省,咸宁市,239.8333871
421300,420000,湖北省,随州市,256.9834463
422800,420000,湖北省,恩施土家族苗族自治州,213.3112503
429004,420000,湖北省,仙桃市,292.9340648
429005,420000,湖北省,潜江市,299.9494601
429006,420000,湖北省,天门市,299.3649027
429021,420000,湖北省,神农架林区,201.4381843
430100,430000,湖南省,长沙市,249.1339356
430200,430000,湖南省,株洲市,232.5836375
430300,430000,湖南省,湘潭市,257.4780363
430400,430000,湖南省,衡阳市,259.0526921
430500,430000,湖南省,邵阳市,235.2655592
430600,430000,湖南省,岳阳市,255.8738547
430700,430000,湖南省,常德市,252.3822013
430800,430000,湖南省,张家界市,219.8571124
430900,430000,湖南省,益阳市,244.1743316
431000,430000,湖南省,郴州市,226.961073
431100,430000,湖南省,永州市,237.8982724
431200,430000,湖南省,怀化市,218.669465
431300,430000,湖南省,娄底市,244.6582027
433100,430000,湖南省,湘西土家族苗族自治州,220.1997971
440100,440000,广东省,广州市,261.4375944
440200,440000,广东省,韶关市,218.0445855
440300,440000,广东省,深圳市,285.1785106
440400,440000,广东省,珠海市,246.7869408
440500,440000,广东省,汕头市,271.683689
440600,440000,广东省,佛山市,290.2434348
440700,440000,广东省,江门市,246.0217178
440800,440000,广东省,湛江市,276.1199681
440900,440000,广东省,茂名市,233.1324527
441200,440000,广东省,肇庆市,219.7109982
441300,440000,广东省,惠州市,231.7147544
441400,440000,广东省,梅州市,215.1618832
441500,440000,广东省,汕尾市,240.6318167
441600,440000,广东省,河源市,214.0238145
441700,440000,广东省,阳江市,233.545604
441800,440000,广东省,清远市,222.7324521
441900,440000,广东省,东莞市,307.0152757
442000,440000,广东省,中山市,283.4582669
445100,440000,广东省,潮州市,232.8430422
445200,440000,广东省,揭阳市,247.4444521
445300,440000,广东省,云浮市,224.7982508
450100,450000,广西壮族自治区,南宁市,245.9503663
450200,450000,广西壮族自治区,柳州市,225.7386521
450300,450000,广西壮族自治区,桂林市,221.5371369
450400,450000,广西壮族自治区,梧州市,213.1533901
450500,450000,广西壮族自治区,北海市,268.8772187
450600,450000,广西壮族自治区,防城港市,218.7378554
450700,450000,广西壮族自治区,钦州市,232.3899364
450800,450000,广西壮族自治区,贵港市,248.9855558
450900,450000,广西壮族自治区,玉林市,228.5140077
451000,450000,广西壮族自治区,百色市,204.2730848
451100,450000,广西壮族自治区,贺州市,221.2634062
451200,450000,广西壮族自治区,河池市,198.2880396
451300,450000,广西壮族自治区,来宾市,240.2154519
451400,450000,广西壮族自治区,崇左市,225.2551742
460100,460000,海南省,海口市,243.9006388
460200,460000,海南省,三亚市,223.9868962
460400,460000,海南省,儋州市,236.1482045
469001,460000,海南省,五指山市,202.9885348
469002,460000,海南省,琼海市,224.9291782
469005,460000,海南省,文昌市,250.5910998
469006,460000,海南省,万宁市,227.9804815
469007,460000,海南省,东方市,244.8013477
469021,460000,海南省,定安县,228.7546449
469022,460000,海南省,屯昌县,208.107048
469023,460000,海南省,澄迈县,224.9668136
469024,460000,海南省,临高县,243.4274399
469025,460000,海南省,白沙黎族自治县,205.8390277
469026,460000,海南省,昌江黎族自治县,236.94374
469027,460000,海南省,乐东黎族自治县,228.1668459
469028,460000,海南省,陵水黎族自治县,236.4728054
469029,460000,海南省,保亭黎族苗族自治县,204.3074394
469030,460000,海南省,琼中黎族苗族自治县,201.3196221
5.00E+05,5.00E+05,重庆市,重庆市,243.1220153
510100,510000,四川省,成都市,287.7283104
510300,510000,四川省,自贡市,294.5209714
510400,510000,四川省,攀枝花市,217.4542309
510500,510000,四川省,泸州市,248.633603
510600,510000,四川省,德阳市,283.8490421
510700,510000,四川省,绵阳市,246.5735032
510800,510000,四川省,广元市,240.8190532
510900,510000,四川省,遂宁市,290.942629
511000,510000,四川省,内江市,294.1792824
511100,510000,四川省,乐山市,242.5662311
511300,510000,四川省,南充市,284.8924189
511400,510000,四川省,眉山市,279.0391463
511500,510000,四川省,宜宾市,262.9817233
511600,510000,四川省,广安市,281.9955026
511700,510000,四川省,达州市,246.7000275
511800,510000,四川省,雅安市,214.0480906
511900,510000,四川省,巴中市,240.1501524
512000,510000,四川省,资阳市,295.1125356
513200,510000,四川省,阿坝藏族羌族自治州,196.2868083
513300,510000,四川省,甘孜藏族自治州,193.2402902
513400,510000,四川省,凉山彝族自治州,212.7942646
520100,520000,贵州省,贵阳市,251.1425337
520200,520000,贵州省,六盘水市,223.0431642
520300,520000,贵州省,遵义市,234.2549877
520400,520000,贵州省,安顺市,230.4325097
