Citycode,Provincecode,Province,City,LUL
110000,110000,北京市,北京市,264.5273058
120000,120000,天津市,天津市,297.6912176
130100,130000,河北省,石家庄市,283.8143063
130200,130000,河北省,唐山市,293.5979375
130300,130000,河北省,秦皇岛市,264.2041249
130400,130000,河北省,邯郸市,298.2553105
130500,130000,河北省,邢台市,300.8970552
130600,130000,河北省,保定市,269.6728684
130700,130000,河北省,张家口市,238.1720795
130800,130000,河北省,承德市,217.6420544
130900,130000,河北省,沧州市,309.7761248
131000,130000,河北省,廊坊市,319.256636
131100,130000,河北省,衡水市,318.2830031
140100,140000,山西省,太原市,233.0300736
140200,140000,山西省,大同市,246.3349479
140300,140000,山西省,阳泉市,222.7013312
140400,140000,山西省,长治市,242.7513345
140500,140000,山西省,晋城市,238.3302289
140600,140000,山西省,朔州市,256.0372659
140700,140000,山西省,晋中市,233.154027
140800,140000,山西省,运城市,281.3692424
140900,140000,山西省,忻州市,231.0955863
141000,140000,山西省,临汾市,240.1387089
141100,140000,山西省,吕梁市,232.7329825
150100,150000,内蒙古自治区,呼和浩特市,242.6969008
150200,150000,内蒙古自治区,包头市,219.5851161
150300,150000,内蒙古自治区,乌海市,165.3075285
150400,150000,内蒙古自治区,赤峰市,222.7173536
150500,150000,内蒙古自治区,通辽市,242.4458097
150600,150000,内蒙古自治区,鄂尔多斯市,171.2749929
150700,150000,内蒙古自治区,呼伦贝尔市,208.8084334
150800,150000,内蒙古自治区,巴彦淖尔市,150.6045248
150900,150000,内蒙古自治区,乌兰察布市,219.8089232
152200,150000,内蒙古自治区,兴安盟,229.6914696
152500,150000,内蒙古自治区,锡林郭勒盟,199.6585907
152900,150000,内蒙古自治区,阿拉善盟,13.99133293
156400,150000,中朝共有,中朝共有,81.67952474
210100,210000,辽宁省,沈阳市,308.5891029
210200,210000,辽宁省,大连市,272.718012
210300,210000,辽宁省,鞍山市,262.985482
210400,210000,辽宁省,抚顺市,223.9374941
210500,210000,辽宁省,本溪市,218.4750881
210600,210000,辽宁省,丹东市,231.2842657
210700,210000,辽宁省,锦州市,295.1440762
210800,210000,辽宁省,营口市,264.1273233
210900,210000,辽宁省,阜新市,290.6126242
211000,210000,辽宁省,辽阳市,270.8300324
211100,210000,辽宁省,盘锦市,307.8584737
211200,210000,辽宁省,铁岭市,270.5304438
211300,210000,辽宁省,朝阳市,257.6650948
211400,210000,辽宁省,葫芦岛市,264.1838235
